Source,Count,State,City,County,Country
33811,5,FL,Lakeland,Polk,USA
03063,5,NH,Nashua,Hillsborough,USA
77090,5,TX,Houston,Harris,USA
55379,5,MN,Shakopee,Scott,USA
92408,6,CA,San Bernardino,San Bernardino,USA
85043,6,AZ,Phoenix,Maricopa,USA
29303,6,SC,Spartanburg,Spartanburg,USA
46231,7,IN,Indianapolis,Marion,USA
29172,8,SC,West Columbia,Lexington,USA
08817,8,NJ,Edison,Middlesex,USA
62025,8,IL,Edwardsville,Madison,USA
18045,8,PA,Easton,Northampton,USA
37127,8,TN,Murfreesboro,Rutherford,USA
37090,9,TN,Lebanon,Wilson,USA
92551,9,CA,Moreno Valley,Riverside,USA
37310,9,TN,Charleston,Bradley,USA
37416,10,TN,Chattanooga,Hamilton,USA
60449,10,IL,Monee,Will,USA
60433,11,IL,Joliet,Will,USA
41048,11,KY,Hebron,Boone,USA
42718,12,KY,Campbellsville,Taylor,USA
53144,12,WI,Kenosha,Kenosha,USA
66102,12,KS,Kansas City,Wyandotte,USA
46075,14,IN,Whitestown,Boone,USA
40165,18,KY,Shepherdsville,Bullitt,USA
17015,18,PA,Carlisle,Cumberland,USA
23836,21,VA,Chester,Chesterfield,USA
76177,21,TX,Fort Worth,Tarrant,USA
46168,23,IN,Plainfield,Hendricks,USA
47130,25,IN,Jeffersonville,Clark,USA
18031,32,PA,Breinigsville,Lehigh,USA
02722,32,MA,Fall River,Bristol,USA
19709,35,DE,Middletown,New Castle,USA
21224,36,MD,Baltimore,Baltimore City,USA
43018,43,OH,Etna,Licking,USA
06095,47,CT,Windsor,Hartford,USA
08691,59,NJ,Trenton,Mercer,USA
43125,64,OH,Groveport,Franklin,USA
07008,127,NJ,Carteret,Middlesex,USA