zip,category,country,lat,lon,order
40511,1,USA,38.093233,-84.500671,1
02119,1,USA,42.322414,-71.086923,2
02072,1,USA,42.125279,-71.107357,3
07008,1,USA,40.582278,-74.231345,4
40511,2,USA,38.093233,-84.500671,5
02638,2,USA,41.732166,-70.191054,6
02072,2,USA,42.125279,-71.107357,7
07008,2,USA,40.582278,-74.231345,8
40511,3,USA,38.093233,-84.500671,9
02134,3,USA,42.353519,-71.132866,10
02072,3,USA,42.125279,-71.107357,11
07008,3,USA,40.582278,-74.231345,12
40511,4,USA,38.093233,-84.500671,13
01842,4,USA,42.706944,-71.163611,14
01840,4,USA,42.707958,-71.16381,15
01845,4,USA,42.682583,-71.109004,16
01844,4,USA,42.728019,-71.181031,17
02072,4,USA,42.125279,-71.107357,18
07008,4,USA,40.582278,-74.231345,19
40511,5,USA,38.093233,-84.500671,20
03106,5,USA,43.061708,-71.444446,21
03079,5,USA,42.78465,-71.21761,22
02072,5,USA,42.125279,-71.107357,23
07008,5,USA,40.582278,-74.231345,24
40511,6,USA,38.093233,-84.500671,25
46242,6,USA,39.7279,-86.2559,26
02150,6,USA,42.396252,-71.032521,27
02128,6,USA,42.378137,-71.028682,28
02148,6,USA,42.42911,-71.060507,29
02072,6,USA,42.125279,-71.107357,30
07008,6,USA,40.582278,-74.231345,31
40511,7,USA,38.093233,-84.500671,32
04005,7,USA,43.483647,-70.471928,33
04072,7,USA,43.520946,-70.454632,34
02072,7,USA,42.125279,-71.107357,35
07008,7,USA,40.582278,-74.231345,36
40511,8,USA,38.093233,-84.500671,37
02026,8,USA,42.243685,-71.163741,38
02062,8,USA,42.186843,-71.203313,39
02072,8,USA,42.125279,-71.107357,40
07008,8,USA,40.582278,-74.231345,41
40511,9,USA,38.093233,-84.500671,42
02904,9,USA,41.860461,-71.438102,43
02903,9,USA,41.820002,-71.415801,44
02072,9,USA,42.125279,-71.107357,45
07008,9,USA,40.582278,-74.231345,46
40511,10,USA,38.093233,-84.500671,47
01613,10,USA,42.2625,-71.8027,48
01603,10,USA,42.245033,-71.837995,49
02072,10,USA,42.125279,-71.107357,50
07008,10,USA,40.582278,-74.231345,51
40511,11,USA,38.093233,-84.500671,52
01701,11,USA,42.300665,-71.425486,53
01702,11,USA,42.2844,-71.4295,54
02072,11,USA,42.125279,-71.107357,55
07008,11,USA,40.582278,-74.231345,56
40511,12,USA,38.093233,-84.500671,57
04101,12,USA,43.660564,-70.258864,58
02072,12,USA,42.125279,-71.107357,59
07008,12,USA,40.582278,-74.231345,60
40511,13,USA,38.093233,-84.500671,61
04070,13,USA,43.578056,-70.322222,62
04074,13,USA,43.583476,-70.345668,63
02072,13,USA,42.125279,-71.107357,64
07008,13,USA,40.582278,-74.231345,65
40511,14,USA,38.093233,-84.500671,66
01420,14,USA,42.579563,-71.803133,67
02072,14,USA,42.125279,-71.107357,68
07008,14,USA,40.582278,-74.231345,69
40511,15,USA,38.093233,-84.500671,70
46242,15,USA,39.7279,-86.2559,71
02155,15,USA,42.417335,-71.108686,72
02151,15,USA,42.413767,-71.005165,73
02072,15,USA,42.125279,-71.107357,74
07008,15,USA,40.582278,-74.231345,75
40511,16,USA,38.093233,-84.500671,76
04210,16,USA,44.094785,-70.238978,77
02072,16,USA,42.125279,-71.107357,78
07008,16,USA,40.582278,-74.231345,79
40511,17,USA,38.093233,-84.500671,80
46242,17,USA,39.7279,-86.2559,81
02122,17,USA,42.297278,-71.058304,82
02072,17,USA,42.125279,-71.107357,83
07008,17,USA,40.582278,-74.231345,84
40511,18,USA,38.093233,-84.500671,85
02119,18,USA,42.322414,-71.086923,86
02121,18,USA,42.307503,-71.08305,87
02072,18,USA,42.125279,-71.107357,88
07008,18,USA,40.582278,-74.231345,89
40511,19,USA,38.093233,-84.500671,90
02110,19,USA,42.357636,-71.051417,91
02205,19,USA,42.348,-71.0551,92
02072,19,USA,42.125279,-71.107357,93
07008,19,USA,40.582278,-74.231345,94
40511,20,USA,38.093233,-84.500671,95
02571,20,USA,41.754084,-70.711594,96
02360,20,USA,41.910404,-70.642004,97
02072,20,USA,42.125279,-71.107357,98
07008,20,USA,40.582278,-74.231345,99
40511,21,USA,38.093233,-84.500671,100
02748,21,USA,41.591728,-70.956521,101
02072,21,USA,42.125279,-71.107357,102
07008,21,USA,40.582278,-74.231345,103
40511,22,USA,38.093233,-84.500671,104
02155,22,USA,42.417335,-71.108686,105
02072,22,USA,42.125279,-71.107357,106
07008,22,USA,40.582278,-74.231345,107
40511,23,USA,38.093233,-84.500671,108
02895,23,USA,41.99948,-71.513683,109
02072,23,USA,42.125279,-71.107357,110
07008,23,USA,40.582278,-74.231345,111
40511,24,USA,38.093233,-84.500671,112
02148,24,USA,42.42911,-71.060507,113
02072,24,USA,42.125279,-71.107357,114
07008,24,USA,40.582278,-74.231345,115