lat,lon
42.129484,-72.754318
none,none
42.195922,-73.36065
42.579563,-71.803133
42.649614,-71.92666
42.674462,-71.817369
42.55914,-71.578763
42.546667,-71.598333
42.57405,-71.9898
42.612351,-71.558371
42.498565,-71.575293
42.486538,-72.001159
42.52744,-71.756308
42.540132,-71.487667
42.58843,-71.726642
42.668888,-71.593392
42.558653,-71.646444
42.545976,-72.064971
42.652511,-71.689646
42.548319,-71.909599
42.670404,-71.74057
42.678943,-72.047524
42.205502,-71.839144
42.384438,-71.635634
42.028708,-71.52691
42.337727,-71.731042
42.199141,-72.098887
42.137902,-71.966384
42.145833,-71.988889
42.418147,-71.682847
42.060566,-71.726611
42.200371,-71.686848
42.341983,-71.84142
42.375519,-71.87058
42.450984,-71.686831
42.237047,-71.918829
42.196779,-71.764438
42.033102,-71.579813
42.318242,-71.646372
42.1494,-71.656366
42.266455,-72.082129
42.229726,-71.703691
42.16549,-71.885953
42.11285,-71.868677
42.450812,-71.876245
42.376199,-71.948951
42.284801,-71.720503
42.176042,-71.692725
42.244103,-71.990617
42.435351,-71.775192
42.112619,-72.084233
42.173275,-71.608014
42.074426,-71.632869
42.047574,-71.839467
42.048894,-71.893228
42.267891,-71.617604
42.35836,-71.783822
42.115319,-71.664357
42.140586,-71.748416
42.270251,-71.841678
42.245033,-71.837995
42.254084,-71.774626
42.289391,-71.788795
42.311029,-71.795774
42.230294,-71.793837
42.262425,-71.800262
42.275387,-71.817456
42.249186,-71.810798
42.237287,-71.874971
42.306646,-71.920234
42.2625,-71.8027
42.2625,-71.8027
42.300665,-71.425486
42.2844,-71.4295
42.514941,-71.422354
42.486876,-71.518229
42.475076,-71.448255
42.253909,-71.458347
42.484287,-71.276796
42.464444,-71.284167
42.436523,-71.607593
42.528562,-71.351892
42.456701,-71.374741
42.293221,-71.502256
42.202641,-71.436059
42.126796,-71.537601
42.219046,-71.530178
42.391796,-71.560896
42.350861,-71.543355
42.432118,-71.454975
42.096744,-71.549882
42.151142,-71.527402
42.287476,-71.35741
42.233088,-71.378717
42.293919,-71.531997
42.421723,-71.313723
42.430785,-71.515019
42.383655,-71.428159
42.348629,-71.358781
42.482894,-71.157404
42.508942,-71.200437
42.64956,-71.156481
42.551874,-71.251754
42.59356,-71.357521
42.676422,-71.318592
42.673917,-71.495201
42.785605,-71.072057
42.776111,-71.077778
42.779154,-71.109519
42.728067,-70.982239
42.753027,-71.027018
42.758597,-71.08549
42.707958,-71.16381
42.711545,-71.166997
42.706944,-71.163611
42.691053,-71.160506
42.728019,-71.181031
42.682583,-71.109004
42.656035,-71.305078
42.631548,-71.332882
42.634413,-71.298331
42.633333,-71.316667
42.649254,-71.335464
42.834629,-71.004658
42.575694,-71.290217
42.634737,-71.390834
42.581898,-71.094711
42.527986,-71.109021
42.60283,-71.223224
42.672383,-71.415766
42.500886,-71.068471
42.589959,-71.438143
42.558143,-71.172306
42.506,-71.1265
42.453028,-71.14407
42.463378,-70.945516
42.469814,-70.941989
42.4647,-70.9467
42.487453,-70.962798
42.46453,-70.973825
42.463344,-71.011093
42.474611,-70.909774
42.426098,-70.927739
42.855879,-70.936681
42.560825,-70.875939
42.679719,-71.011372
42.756792,-70.935053
42.569402,-70.942461
42.628629,-70.782794
42.620836,-70.672149
42.615833,-70.6625
42.618333,-70.856667
42.680877,-70.849353
42.532711,-71.033873
42.57963,-70.767434
42.498431,-70.865291
42.594184,-71.013004
42.812964,-70.884668
42.783475,-70.847377
42.850678,-70.858822
42.532579,-70.961194
42.527778,-70.929167
42.559722,-70.825
42.657973,-70.619424
42.713753,-70.90696
42.515114,-70.900343
42.618478,-70.856132
42.641546,-70.948843
42.60166,-70.878622
42.794865,-70.977811
42.074573,-71.476829
42.164454,-71.135536
42.239484,-70.812788
42.243685,-71.163741
42.236233,-71.285363
42.15324,-71.2179
42.064938,-71.244127
42.09347,-71.405786
42.224485,-70.891051
42.285346,-70.875442
42.136111,-70.690556
42.021238,-71.217775
42.106177,-70.69931
42.184525,-71.304813
42.151363,-71.421715
42.166938,-71.360693
42.117746,-71.326934
42.143056,-70.770833
42.159574,-70.82172
42.186843,-71.203313
42.097222,-70.654167
42.203235,-70.752476
42.109388,-71.175872
42.125279,-71.107357
42.144413,-71.254391
42.214824,-71.210426
42.061746,-71.339568
42.357603,-71.068432
42.362963,-71.053386
42.357636,-71.051417
42.350348,-71.0629
42.3583,-71.0602
42.365656,-71.055958
42.361111,-71.06823
42.342706,-71.092215
42.349201,-71.076798
42.3503,-71.0762
42.340154,-71.075627
42.322414,-71.086923
42.332844,-71.097978
42.307503,-71.08305
42.297278,-71.058304
42.345,-71.0876
42.287984,-71.072898
42.315305,-71.061924
42.273889,-71.093871
42.333454,-71.043792
42.378137,-71.028682
42.377815,-71.062715
42.312596,-71.111495
42.283615,-71.129543
42.27868,-71.158868
42.3573,-71.065
42.353519,-71.132866
42.34779,-71.156599
42.253989,-71.126052
42.249167,-71.229167
42.377045,-71.125611
42.364688,-71.104155
42.391366,-71.129379
42.370701,-71.088277
42.362025,-71.083011
42.382945,-71.102814
42.40032,-71.122059
42.390678,-71.092944
42.42911,-71.060507
42.411199,-71.051448
42.396252,-71.032521
42.413767,-71.005165
42.376294,-70.980043
none,none
42.417335,-71.108686
42.364005,-71.141879
42.249133,-70.997816
42.26713,-71.018644
42.282519,-71.024141
42.458066,-71.063191
42.482778,-71.0978
42.209284,-70.996304
42.222222,-71
42.253663,-71.077051
42.211327,-70.958248
42.211606,-70.931671
42.172817,-70.94869
42.243564,-70.944318
42.347873,-71.082543
42.3624,-71.0628
42.3624,-71.0628
42.3624,-71.0628
42.348,-71.0551
42.348921,-71.046511
42.347088,-71.102689
42.3624,-71.0628
42.252778,-71.002778
42.08,-71.0377
42.088,-71.0018
42.0828,-71.0164
42.0635,-71.0157
42.0635,-71.0157
42.125825,-71.043738
41.977341,-70.97234
41.990278,-70.975556
41.888265,-70.767754
42.041667,-70.672778
42.039936,-70.716257
42.031478,-70.944964
42.000159,-70.844794
42.121406,-70.857006
42.113056,-70.8125
42.061627,-70.865053
42.14641,-71.008273
41.888396,-70.892965
41.837377,-70.958195
41.8938,-70.9187
42.116715,-70.954293
42.058956,-71.112337
42.066667,-71.104167
42.062072,-70.804404
41.910404,-70.642004
41.9236,-70.6571
41.9236,-70.6571
41.995022,-70.740993
41.96549,-70.804582
42.173587,-71.051392
42.129286,-70.913263
42.025704,-71.098814
42.025511,-71.016054
42.081603,-70.938127
42.4558,-71.2193
42.4373,-71.236
42.3302,-71.1304
42.3443,-71.1201
42.332778,-71.116667
42.3954,-71.2508
42.3919,-71.2205
42.371111,-71.234444
42.3888,-71.2426
42.298611,-71.26
42.3545,-71.1877
42.336944,-71.209722
42.3521,-71.2081
42.320833,-71.2
42.329167,-71.254167
42.313889,-71.22
42.35,-71.233333
42.347222,-71.25
42.330556,-71.166667
42.327778,-71.227778
42.3733,-71.154
42.3704,-71.1757
42.404167,-71.147222
42.420278,-71.180556
42.415278,-71.156944
42.395833,-71.179167
42.3875,-71.183333
42.3133,-71.2695
42.2986,-71.3016
42.2778,-71.235
42.366667,-71.303611
42.2997,-71.2321
41.752918,-70.593168
41.58504,-70.565174
41.684603,-70.46822
41.768247,-70.653237
41.388856,-70.533893
41.564754,-70.621663
41.660927,-70.57383
41.526272,-70.66431
41.641677,-70.623043
41.688115,-70.610512
41.798333,-70.529444
41.698304,-70.469325
41.754084,-70.711594
41.413717,-70.655802
41.779617,-70.764179
41.653682,-70.298176
41.698289,-70.300067
41.749179,-70.069868
41.660585,-70.353196
41.687634,-69.980758
41.696025,-70.433431
41.732166,-70.191054
41.664873,-70.132711
41.840781,-69.984865
41.682695,-70.514317
41.70082,-70.057929
41.670274,-70.416321
41.618116,-70.485361
42.033779,-70.08751
41.779161,-69.982198
41.63005,-70.383726
42.053364,-70.186504
41.709711,-70.15851
41.918056,-69.995833
41.672805,-70.19731
41.998792,-70.056362
41.928934,-70.018587
41.700212,-70.371985
41.661367,-70.236297
41.705149,-70.227014
41.797458,-71.060736
41.929599,-71.30092
41.812505,-71.142723
41.763455,-70.967709
41.873585,-71.019225
41.640924,-70.889608
41.718221,-71.139991
41.688305,-71.157424
41.701389,-71.155556
41.692612,-71.133214
41.684975,-71.174822
41.722299,-71.177971
41.756012,-71.149206
41.709526,-70.761261
41.661845,-70.816357
41.634749,-70.9372
41.6997,-70.908652
41.612716,-70.916746
41.691337,-70.935545
41.659972,-70.93243
41.633789,-70.995769
41.591728,-70.956521
41.977542,-71.329757
42.012403,-71.327454
41.970979,-71.310353
41.852874,-71.148523
41.971801,-71.189441
41.932361,-71.046856
41.85152,-71.254453
41.759082,-70.852257
41.837835,-71.322406
41.74734,-71.212167
41.835325,-71.076534
41.905007,-71.10261
41.621127,-71.089003
41.744334,-71.317497
41.68247,-71.267558
41.46941,-71.650279
41.400749,-71.661455
41.91549,-71.679483
41.69143,-71.576794
41.639977,-71.643549
41.649777,-71.474009
41.574031,-71.607626
41.781455,-71.718748
41.706151,-71.735607
41.873409,-71.556923
41.887778,-71.597222
41.976379,-71.653405
41.751603,-71.561225
41.506974,-71.734862
41.516405,-71.376108
41.477694,-71.683992
41.52204,-71.161215
41.96888,-71.474113
41.504502,-71.30348
41.49,-71.313333
41.545556,-71.291944
41.589426,-71.462494
41.8439,-71.624187
41.963637,-71.642925
41.962728,-71.709866
41.872873,-71.390713
41.881384,-71.356001
41.878611,-71.383056
41.888263,-71.394527
41.948352,-71.415419
41.908906,-71.434777
41.594397,-71.252018
41.510528,-71.442693
41.633839,-71.180823
41.430195,-71.525138
41.437222,-71.501944
41.480295,-71.529239
41.435313,-71.46164
41.725618,-71.270165
41.702601,-71.447591
41.691944,-71.379167
41.74936,-71.40836
41.714069,-71.390146
41.506716,-71.599076
41.700433,-71.518349
41.99948,-71.513683
41.966667,-71.55
41.820002,-71.415801
41.860461,-71.438102
41.786568,-71.403146
41.835104,-71.397065
41.800842,-71.424039
41.838294,-71.437684
41.816777,-71.448165
41.776572,-71.438331
41.853412,-71.474058
41.825833,-71.400833
41.813777,-71.368785
41.772313,-71.354244
41.842472,-71.355938
41.896382,-71.520666
41.8454,-71.4398
41.826431,-71.497646
41.77157,-71.465889
41.761357,-71.506102
none,none
41.8238,-71.4133
42.856944,-71.607536
42.992529,-71.344892
42.738442,-71.666254
43.058514,-71.304857
42.967756,-71.244962
43.137756,-71.251264
42.887404,-71.301971
43.041052,-71.076367
42.991952,-71.81131
42.984016,-71.121836
43.018224,-71.56264
43.109444,-71.599167
42.949277,-71.872755
42.7489,-71.784487
42.748513,-71.577206
42.769038,-71.412144
42.844167,-71.480278
42.865555,-71.37719
42.866689,-71.51278
42.828497,-71.660569
42.897597,-71.676243
42.756395,-71.466684
42.7592,-71.4632
42.723472,-71.489282
42.771686,-71.513156
42.7749,-71.4753
42.97217,-71.686402
42.751142,-71.870318
42.72881,-71.304551
43.032512,-71.191159
42.78465,-71.21761
42.820035,-71.852347
42.836761,-71.754066
42.805106,-71.306735
42.992858,-71.463255
42.99442,-71.488433
42.965563,-71.449325
43.007307,-71.448233
42.9925,-71.4635
43.061708,-71.444446
42.971349,-71.413474
42.940307,-71.52127
43.428668,-71.782952
43.703428,-71.612085
43.451189,-71.488991
43.294343,-71.985048
43.611994,-71.750664
43.888507,-71.636142
43.357041,-71.557008
43.356563,-71.24244
43.710688,-71.47973
43.218898,-71.696299
43.217398,-71.354576
43.442569,-71.649122
43.417476,-71.412063
43.179091,-71.815921
43.120709,-71.902818
43.731944,-71.588889
43.538713,-71.452907
43.526667,-71.47
43.5475,-71.407222
43.650208,-71.511327
43.728133,-71.392245
43.340556,-72.071389
43.618393,-71.643513
43.414501,-71.985674
43.249167,-71.400278
43.206965,-71.200423
43.287384,-71.33303
43.763524,-71.684714
43.804389,-71.848019
43.549552,-71.600348
43.147554,-71.439663
43.46033,-71.577413
43.303512,-71.835349
43.071422,-71.70376
none,none
43.432177,-71.900983
43.119632,-71.110983
43.218525,-71.527734
43.285285,-71.612723
43.138788,-71.544814
43.285556,-71.467778
42.943127,-72.28954
42.933611,-72.278611
43.059547,-71.938698
43.010309,-71.91534
42.897198,-72.050538
42.884137,-72.249298
42.976817,-71.981858
42.81779,-72.027514
42.898804,-72.201292
42.88559,-71.946964
42.754391,-72.019038
42.82697,-72.184753
44.311187,-71.776816
44.280846,-71.682929
44.205273,-71.751822
44.399601,-71.179983
44.399907,-71.451834
44.492074,-71.559115
44.214837,-71.896565
44.375278,-71.280278
44.36811,-71.603453
43.660092,-72.029724
43.625584,-72.127014
43.711333,-72.212479
43.510324,-72.133437
43.704532,-72.28496
43.791327,-72.161993
43.353228,-72.183789
43.386816,-72.095044
43.066524,-70.780412
43.1135,-70.7369
43.46302,-71.229709
43.484468,-71.24888
42.836981,-71.1603
43.98776,-71.060677
43.690205,-71.265059
43.974161,-71.15028
42.923432,-71.120985
43.190006,-70.884881
43.1946,-70.8772
43.169167,-70.924444
43.133821,-70.952333
43.2027,-71.037675
42.887656,-71.127978
42.911289,-70.976904
42.977169,-70.964306
43.388373,-71.064693
43.425281,-71.330315
43.268374,-70.976642
43.035294,-70.847476
42.881957,-71.175802
42.935883,-70.824336
42.9375,-70.839444
42.926323,-70.887608
44.095479,-71.119415
42.913258,-71.063914
43.409722,-70.988889
43.502494,-70.969729
43.636552,-71.272858
43.443045,-71.140828
43.036944,-70.938889
43.072628,-70.955317
42.867805,-71.042021
44.033613,-71.123811
none,none
42.977625,-70.826738
42.835551,-71.093397
43.304444,-70.976111
43.309203,-71.055753
43.31256,-70.968581
43.009468,-70.765153
43.551278,-71.020005
42.930819,-71.18606
42.88536,-70.86464
43.252546,-70.875589
43.250575,-71.162475
43.019432,-70.899714
43.4382,-71.020857
43.594996,-71.190843
43.28992,-70.855038
43.213318,-70.639685
43.130943,-70.782216
43.092128,-70.742876
43.097571,-70.712108
43.325401,-70.721173
43.228457,-70.597176
43.229201,-70.785949
43.154447,-70.657826
43.487503,-70.696087
43.483647,-70.471928
44.036806,-69.918849
44.052049,-70.724081
43.897591,-69.955469
43.3725,-70.438611
43.959623,-70.526013
43.809818,-70.2484
43.410304,-70.910986
43.851093,-70.113854
43.856944,-70.103611
44.031278,-70.966841
43.684329,-70.467968
43.894202,-70.342939
44.107099,-70.653855
43.594578,-70.605074
43.388055,-70.547802
43.392288,-70.472867
43.696265,-70.786556
43.726031,-70.675178
43.692014,-70.15509
43.968121,-70.598754
44.098611,-70.699167
43.639976,-70.729799
43.795771,-70.414281
43.500556,-70.386667
43.517449,-70.392053
43.890042,-70.195497
43.578056,-70.322222
43.921917,-70.449834
43.520946,-70.454632
43.428541,-70.758479
43.583476,-70.345668
43.781932,-69.993709
43.471499,-70.806445
43.814211,-70.480657
43.757137,-70.645627
43.941286,-69.964479
43.314352,-70.596883
43.684268,-70.358033
43.661586,-70.601546
43.800933,-70.174958
43.829722,-70.276944
43.676944,-70.371667
43.660564,-70.258864
43.660168,-70.28981
43.687568,-70.2876
43.6582,-70.2671
43.734038,-70.26253
43.631847,-70.270878
43.601735,-70.230099
43.674971,-70.202201
43.774485,-70.188333
43.6613,-70.2558
43.6367,-70.2508
44.094785,-70.238978
44.0763,-70.2566
44.663703,-70.79666
44.416176,-70.803685
44.287676,-70.368293
43.928333,-70.123611
44.189059,-70.145532
44.515994,-70.209883
44.098538,-70.191619
44.025511,-70.113933
43.997759,-70.073375
44.383889,-70.249722
44.445756,-70.193614
44.085556,-70.320556
44.22083,-70.02627
43.960835,-70.297381
44.212654,-70.560135
44.11183,-70.509799
44.021162,-70.379664
44.113269,-70.074792
44.216674,-70.501179
44.255669,-70.249444
44.401944,-70.861667
44.045833,-70.025833
44.372804,-70.432314
44.59107,-70.296064
44.323228,-69.766548
44.3111,-69.7843
44.3071,-69.7836
44.25233,-69.791313
44.207029,-69.785774
44.228704,-69.774918
44.286414,-69.805738
44.189419,-69.483895
44.163437,-69.958071
44.308375,-69.884657
44.403221,-69.950634
44.104213,-69.821077
44.314031,-69.973128
44.824199,-68.791839
44.801111,-68.778333
45.279838,-69.52514
44.601546,-68.776823
43.906155,-69.826565
43.894497,-69.627322
43.854559,-69.61844
44.029313,-69.504237
44.049866,-69.533113
43.768816,-69.814982
43.769342,-69.857557
44.104601,-69.374537
44.007444,-69.682576
43.950317,-69.789098
45.171478,-67.26408
47.174384,-68.267922
43.764222,-69.316429
44.547967,-69.635917
44.46875,-69.860636
44.511103,-69.863681
44.609639,-69.63321
44.51729,-69.740082
43.663431,-72.350351
44.0006,-72.140638
43.740373,-72.30162
43.646111,-72.418889
43.62482,-72.538455
44.484023,-73.219875
44.451324,-73.179617
44.494898,-73.187413
44.477733,-73.2002
44.5489,-73.1862
44.535956,-73.202216
44.491944,-73.109444
44.503466,-73.090644
44.490556,-73.111389
44.194522,-72.493619
44.64204,-72.671154
44.427195,-72.005062
44.433241,-72.113319
41.762765,-72.726799
41.357171,-72.057947
41.382156,-72.85852
41.143433,-73.349579
40.727164,-73.949846
41.074205,-72.348082
42.724444,-73.758889
42.713116,-73.820174
42.195735,-75.790978
43.172165,-79.021547
42.86372,-76.991349
39.93779,-75.264872
39.000343,-77.102165
39.528194,-77.551322
none,none
none,none
38.8926,-77.07531
38.8582,-77.0533
none,none
37.258534,-76.49586
37.718441,-77.186016
none,none
36.806667,-77.956944
37.302692,-78.407592
37.337878,-79.279116
33.904668,-78.574406
none,none
none,none
none,none
30.07544,-82.538481
29.880457,-81.298367
none,none
29.2105,-81.023
29.823815,-83.385828
30.77061,-86.553678
29.48689,-83.261587
none,none
none,none
28.109059,-80.578718
28.39034,-80.604267
27.653623,-80.360916
none,none
none,none
26.137908,-80.125283
28.114698,-82.367751
27.9777,-82.716
none,none
none,none
none,none
none,none
26.1427,-81.7974
26.243,-81.7674
25.9392,-81.7174
27.557162,-82.396009
27.138398,-82.451779
27.4401,-82.5827
29.0043,-82.1956
27.288895,-80.297971
38.004515,-85.688767
38.15205,-85.594513
38.010166,-84.427419
38.093233,-84.500671
39.07553,-84.700745
46.856406,-96.812252
none,none
36.4475,-114.851389
36.206228,-115.124832
47.678597,-122.189442
