source,cnt,country
01613,1,USA
01864,1,USA
02072,464,USA
02116,1,USA
02722,23205,USA
02852,2,USA
03063,8103,USA
03904,1,USA
06095,31958,USA
07008,89218,USA
08085,1400,USA
08512,1478,USA
08691,40032,USA
08817,5738,USA
17015,5175,USA
17339,1667,USA
18031,25173,USA
18045,2993,USA
18109,3,USA
18424,29,USA
19709,20670,USA
19720,1948,USA
21224,23649,USA
21240,2,USA
21901,897,USA
23836,11474,USA
28208,13,USA
29172,5114,USA
29303,102,USA
30122,2,USA
30549,66,USA
32218,1584,USA
33570,2402,USA
33661,25,USA
33811,1081,USA
37090,1518,USA
37127,1668,USA
37310,311,USA
37416,4602,USA
40165,2405,USA
40511,807,USA
41048,2754,USA
42718,1957,USA
43018,18092,USA
43125,1394,USA
46075,8764,USA
46168,2060,USA
46231,1431,USA
47130,11510,USA
48150,67,USA
53144,6670,USA
55379,3834,USA
60085,2,USA
60433,7038,USA
60446,602,USA
60449,2096,USA
60502,55,USA
61109,35,USA
62025,654,USA
66021,271,USA
66102,1015,USA
75019,576,USA
75261,26,USA
76177,6594,USA
77090,1301,USA
78154,770,USA
78226,2,USA
78666,2711,USA
85034,6,USA
85043,3113,USA
85338,94,USA
89506,77,USA
91752,775,USA
91762,24,USA
92374,267,USA
92376,453,USA
92408,2504,USA
92551,5617,USA
95304,421,USA
95363,127,USA
95391,209,USA
95837,199,USA
98032,3148,USA
98158,11,USA
98327,844,USA